upper|lower|rain|month|yr|monthF
1|10.8|6.5|12.2|1|1987|1
2|10.5|4.5|1.3|1|1987|1
3|7.5|-1|0.1|1|1987|1
4|6.5|-3.3|1.1|1|1987|1
5|10|5|3.5|1|1987|1
6|8|3|0.1|1|1987|1
7|5.8|-3.3|0|1|1987|1
8|2.8|-5.5|0|1|1987|1
9|-0.8|-4.8|0|1|1987|1
10|1.5|-1|0|1|1987|1
11|1.5|-7.5|0|1|1987|1
12|-3.5|-11.5|0.7|1|1987|1
13|-6.8|-11.3|0.3|1|1987|1
14|-4.3|-7.5|5.3|1|1987|1
15|-2|-5.5|0|1|1987|1
16|0.8|-2.5|0|1|1987|1
17|1|-2|0|1|1987|1
18|-2|-3|0|1|1987|1
19|-1|-3.8|0|1|1987|1
20|0|-3.8|0|1|1987|1
21|2.8|-0.3|0|1|1987|1
22|5.5|2.3|0.7|1|1987|1
23|6.8|4.8|0.9|1|1987|1
24|6.3|4|0.2|1|1987|1
25|5.5|3.3|0|1|1987|1
26|4|2|0|1|1987|1
27|5.8|1.5|0|1|1987|1
28|3.5|-1.8|0|1|1987|1
29|5.5|-5|0|1|1987|1
30|4.5|-4.8|0|1|1987|1
31|1.8|-9.8|0|1|1987|1
32|3.8|-8.8|0|2|1987|2
33|4.5|-6.5|0.8|2|1987|2
34|6.3|3|0.4|2|1987|2
35|9.3|5.5|0|2|1987|2
36|9.5|6.3|0|2|1987|2
37|11|7.5|0|2|1987|2
38|12|2|0.2|2|1987|2
39|9.5|4|0|2|1987|2
40|12.5|8.5|2.4|2|1987|2
41|9.5|4.5|0.2|2|1987|2
42|8.8|-0.3|0.6|2|1987|2
43|8|2.3|0.9|2|1987|2
44|5|-3.3|0|2|1987|2
45|6.3|-0.8|14.9|2|1987|2
46|4.3|-1.5|0.5|2|1987|2
47|5.5|-3.3|0|2|1987|2
48|3|-1.3|0.1|2|1987|2
49|3.3|-1.3|0|2|1987|2
50|3.5|-4.3|0.4|2|1987|2
51|3.8|-2.5|0|2|1987|2
52|3|-1.3|0|2|1987|2
53|5.8|1.8|0.4|2|1987|2
54|6.8|-0.8|0.4|2|1987|2
55|4.5|-0.8|0|2|1987|2
56|4.5|-4|0|2|1987|2
57|5.8|-1.5|0|2|1987|2
58|10.8|2.8|5.8|2|1987|2
59|11.8|9.5|6.6|2|1987|2
60|14.5|7.5|5.6|3|1987|3
61|11.3|6.8|1.4|3|1987|3
62|9.5|0.3|0|3|1987|3
63|2.8|-3.3|0.9|3|1987|3
64|3.5|-0.8|0.2|3|1987|3
65|8.3|1.8|1|3|1987|3
66|3.5|1|4.8|3|1987|3
67|3.8|0.3|7.4|3|1987|3
68|4|-0.8|0|3|1987|3
69|4.5|-1.5|0|3|1987|3
70|7|-2.3|0|3|1987|3
71|7|-3.5|0|3|1987|3
72|7.5|-5.5|0|3|1987|3
73|5.5|-4.5|0|3|1987|3
74|6.3|-2.8|0|3|1987|3
75|8|0.8|0|3|1987|3
76|7.8|3.5|0|3|1987|3
77|12.3|3.3|2.8|3|1987|3
78|8.3|-2|2.3|3|1987|3
79|7|-0.8|0.3|3|1987|3
80|7.8|-2.8|0|3|1987|3
81|7.3|-2.5|0|3|1987|3
82|9.8|4|5|3|1987|3
83|10.8|7.8|6.4|3|1987|3
84|11.3|9.3|5|3|1987|3
85|10.3|1.8|0.5|3|1987|3
86|12.3|6.5|10.7|3|1987|3
87|11.5|3.8|1|3|1987|3
88|8.3|0.8|2.2|3|1987|3
89|9|1.3|0.4|3|1987|3
90|11.3|3.8|0|3|1987|3
91|10.8|7|2.7|4|1987|4
92|8.3|1.8|7|4|1987|4
93|10|3.5|0|4|1987|4
94|9.8|7.8|5.4|4|1987|4
95|8.5|2.5|10.2|4|1987|4
96|14|6|0|4|1987|4
97|12.5|6.8|13.4|4|1987|4
98|12.3|7|1.4|4|1987|4
99|12|7.8|1.4|4|1987|4
100|13.5|2.5|0.3|4|1987|4
101|11.5|3.5|2.5|4|1987|4
102|11|2|0|4|1987|4
103|11|2|0|4|1987|4
104|10.8|5.5|0|4|1987|4
105|14.3|3.3|0|4|1987|4
106|13.3|1.8|0|4|1987|4
107|18.5|7.5|0|4|1987|4
108|21.5|5.5|0|4|1987|4
109|16|11.3|0|4|1987|4
110|15.3|8|0.4|4|1987|4
111|12.5|4.5|0|4|1987|4
112|15.3|7.5|0|4|1987|4
113|16|3|0|4|1987|4
114|20.8|4.3|0|4|1987|4
115|22.3|7.5|0|4|1987|4
116|19.3|6.5|0|4|1987|4
117|22.3|7.5|0|4|1987|4
118|20.8|4|0|4|1987|4
119|22.8|8.5|0|4|1987|4
120|20.8|11|3.8|4|1987|4
121|14.5|11.5|0|5|1987|5
122|16|3.8|1.9|5|1987|5
123|13.8|3.3|2.1|5|1987|5
124|10.5|1.5|0.7|5|1987|5
125|13|5.8|0|5|1987|5
126|14.3|4.3|0|5|1987|5
127|16.3|5.3|0|5|1987|5
128|18|-0.3|0|5|1987|5
129|20.5|0.8|0|5|1987|5
130|22.5|6|0|5|1987|5
131|17.5|2.3|0|5|1987|5
132|14.8|10|3.7|5|1987|5
133|13.3|3.3|2.7|5|1987|5
134|13|5.5|9.4|5|1987|5
135|13|6|2.4|5|1987|5
136|11.3|2.8|1.7|5|1987|5
137|13.8|7|0|5|1987|5
138|13|7.5|4.9|5|1987|5
139|12.5|5.5|3.8|5|1987|5
140|16.5|3.3|0|5|1987|5
141|13.8|4.3|0|5|1987|5
142|14.3|5.3|0.1|5|1987|5
143|13|7|7.4|5|1987|5
144|12.3|6.8|2.1|5|1987|5
145|18.3|7.8|0|5|1987|5
146|18|7.3|0|5|1987|5
147|22.3|9.3|0.2|5|1987|5
148|18.3|8.8|0|5|1987|5
149|17.8|9.3|0.3|5|1987|5
150|18.3|12.5|0|5|1987|5
151|19.3|10.8|11.7|5|1987|5
152|19.8|10.3|0|6|1987|6
153|19|11|0|6|1987|6
154|14.5|10|4.7|6|1987|6
155|17.8|11.3|0.9|6|1987|6
156|18.5|8|4.3|6|1987|6
157|15.3|10.5|9.1|6|1987|6
158|16.3|10.5|0.1|6|1987|6
159|15.8|10|0.2|6|1987|6
160|15.3|9|20.8|6|1987|6
161|12.5|3.3|8|6|1987|6
162|16.5|9.8|2.9|6|1987|6
163|16.3|4.5|0.1|6|1987|6
164|16.8|5.3|0|6|1987|6
165|15.8|9|0.6|6|1987|6
166|16.8|5|0|6|1987|6
167|17.8|4.5|0.8|6|1987|6
168|15|8.5|4.7|6|1987|6
169|16|8.5|3|6|1987|6
170|17.8|11|8.6|6|1987|6
171|15.5|6.8|2.4|6|1987|6
172|19.5|9.8|0|6|1987|6
173|18|8.8|0|6|1987|6
174|15.8|13.3|8.7|6|1987|6
175|19.8|11.5|0|6|1987|6
176|18.5|7.5|1.6|6|1987|6
177|17.3|12.5|4.2|6|1987|6
178|21|13.5|0.3|6|1987|6
179|21.8|15.8|0|6|1987|6
180|23.8|17.3|0|6|1987|6
181|27.5|16.5|0|6|1987|6
182|22.8|10.8|0|7|1987|7
183|19.3|7.5|0|7|1987|7
184|22.5|9.5|0|7|1987|7
185|23.3|7.3|0|7|1987|7
186|26|8.3|0|7|1987|7
187|27.5|8.3|0|7|1987|7
188|28|14.5|0|7|1987|7
189|23.8|11.5|0|7|1987|7
190|22.3|10|0|7|1987|7
191|21|15|0|7|1987|7
192|25.3|12.8|0|7|1987|7
193|24|11.5|0|7|1987|7
194|22.8|10.8|0|7|1987|7
195|24.8|12|0|7|1987|7
196|22.8|16|2.3|7|1987|7
197|21.3|12.8|8.1|7|1987|7
198|18|12|3.4|7|1987|7
199|15|12|1.7|7|1987|7
200|17|12|7.7|7|1987|7
201|16.5|13.8|7.1|7|1987|7
202|19.3|13|1|7|1987|7
203|14.3|13.3|2.9|7|1987|7
204|17|12.8|0.4|7|1987|7
205|15.5|9.8|0|7|1987|7
206|19.3|9.3|0.2|7|1987|7
207|17.5|7.3|0.5|7|1987|7
208|18.5|13.3|0.5|7|1987|7
209|20.3|11.3|0.2|7|1987|7
210|22.5|15.5|9.9|7|1987|7
211|21|13.5|0.4|7|1987|7
212|19|14.5|1|7|1987|7
213|24.3|13.5|0|8|1987|8
214|20.8|14|2|8|1987|8
215|19.5|13|0.7|8|1987|8
216|20.3|9|0|8|1987|8
217|17.5|5.8|0.6|8|1987|8
218|18.5|5.8|0|8|1987|8
219|19|6.5|0|8|1987|8
220|18.3|11|0|8|1987|8
221|16.5|12|0|8|1987|8
222|19|6.5|0|8|1987|8
223|20|5.5|0|8|1987|8
224|18.5|12|2.6|8|1987|8
225|20.8|15.8|0|8|1987|8
226|22.5|12.3|0.6|8|1987|8
227|22|12.3|0|8|1987|8
228|26|10|0|8|1987|8
229|27|14.3|0|8|1987|8
230|23.8|15.8|0.6|8|1987|8
231|22.3|11|0|8|1987|8
232|24.3|12.5|0|8|1987|8
233|27.3|15|0|8|1987|8
234|28.8|15.3|5.8|8|1987|8
235|23.3|10.3|22|8|1987|8
236|20.5|10.5|0|8|1987|8
237|18.3|10.3|4|8|1987|8
238|15.3|10.5|12.2|8|1987|8
239|17|10.5|2.2|8|1987|8
240|16.5|6.3|0|8|1987|8
241|24|14|0|8|1987|8
242|20.3|9|0|8|1987|8
243|22.3|12.3|0|8|1987|8
244|19.8|9.8|0|9|1987|9
245|24.5|16.3|12.9|9|1987|9
246|19.8|14.8|0.4|9|1987|9
247|20.8|10|0.4|9|1987|9
248|20.5|11|6.7|9|1987|9
249|18.5|10.8|4.5|9|1987|9
250|18.3|12.8|2|9|1987|9
251|18.5|6.5|0.2|9|1987|9
252|19.8|9|0|9|1987|9
253|19.3|13.8|0.5|9|1987|9
254|18|10.3|0|9|1987|9
255|18.5|16|1.3|9|1987|9
256|20.5|12.8|8|9|1987|9
257|16.5|9.8|0|9|1987|9
258|20|8.8|0|9|1987|9
259|18.5|11.8|0|9|1987|9
260|19.8|13|0.2|9|1987|9
261|23.5|14.8|2.4|9|1987|9
262|19.3|11.8|0.8|9|1987|9
263|16.8|13|6.2|9|1987|9
264|22.8|15.8|0|9|1987|9
265|21.3|12.5|0.1|9|1987|9
266|18.3|9|0|9|1987|9
267|19|9.8|10.4|9|1987|9
268|15.3|5|0|9|1987|9
269|15.3|2|0|9|1987|9
270|14.5|3.5|0|9|1987|9
271|13.5|6.8|0|9|1987|9
272|13.5|0.8|0|9|1987|9
273|15.3|5.8|0|9|1987|9
274|15.5|3.3|0|10|1987|10
275|16.8|6.3|0|10|1987|10
276|18.5|12.5|0.1|10|1987|10
277|17.8|11.8|7|10|1987|10
278|19.5|11.8|0|10|1987|10
279|19.5|11|0.2|10|1987|10
280|15.3|6.3|8.9|10|1987|10
281|15.3|8.8|18.8|10|1987|10
282|13.3|6|0.6|10|1987|10
283|13.8|7.5|54.3|10|1987|10
284|9.5|3.5|12.3|10|1987|10
285|12.8|2.5|0.1|10|1987|10
286|13.8|4.5|0.9|10|1987|10
287|13.3|4.3|1|10|1987|10
288|11.8|8|10.8|10|1987|10
289|17.3|7.8|19.5|10|1987|10
290|14.3|7|8.1|10|1987|10
291|15|9.3|0.5|10|1987|10
292|16.3|11.5|1.9|10|1987|10
293|17.3|9.5|0.4|10|1987|10
294|13.8|10.3|37.2|10|1987|10
295|14.8|2.3|0.3|10|1987|10
296|13.8|-0.8|0|10|1987|10
297|10.3|1.3|0|10|1987|10
298|11.3|-2.3|0|10|1987|10
299|13.3|2.3|0|10|1987|10
300|11.8|9|2.8|10|1987|10
301|14.8|6|0.8|10|1987|10
302|10.8|-1.8|0|10|1987|10
303|11.8|4.5|0|10|1987|10
304|12.3|8.5|0.3|10|1987|10
305|12.8|10|2.1|11|1987|11
306|11.3|1.5|0.1|11|1987|11
307|8.5|4.5|0|11|1987|11
308|11|7.3|0|11|1987|11
309|11.8|7.8|0|11|1987|11
310|12.3|1.3|0|11|1987|11
311|7.5|5.5|0|11|1987|11
312|7|5|0|11|1987|11
313|7.8|5.8|11.7|11|1987|11
314|8.3|7|0|11|1987|11
315|9.8|3.3|1.8|11|1987|11
316|12.3|4.5|19|11|1987|11
317|8.3|4.3|0.9|11|1987|11
318|8.3|3|0.1|11|1987|11
319|9.3|3.3|3.2|11|1987|11
320|12.8|8|0.2|11|1987|11
321|12.5|6.8|0|11|1987|11
322|12.5|6.8|0|11|1987|11
323|12.5|8|1.5|11|1987|11
324|12.5|4.3|8.4|11|1987|11
325|10.3|3.3|0|11|1987|11
326|8.8|4.8|0.5|11|1987|11
327|8.8|2.3|2.1|11|1987|11
328|6.5|1.8|0.2|11|1987|11
329|8.5|5.5|0|11|1987|11
330|6.8|4|0|11|1987|11
331|6.3|-0.5|0|11|1987|11
332|6.3|-3.3|0|11|1987|11
333|4.5|-4.8|0|11|1987|11
334|1.8|-3.3|0|11|1987|11
335|5.5|1.5|0|12|1987|12
336|6.8|4|0.9|12|1987|12
337|5|2.5|0|12|1987|12
338|4|1|0|12|1987|12
339|6|4|0|12|1987|12
340|7|5.3|0|12|1987|12
341|6|3.3|0|12|1987|12
342|5.3|-3|0|12|1987|12
343|4.5|-2|0|12|1987|12
344|4|-5|0|12|1987|12
345|3|-5.3|0|12|1987|12
346|4|-4.5|0|12|1987|12
347|5|-1.5|0|12|1987|12
348|5.5|-0.3|0|12|1987|12
349|2.8|0.5|0|12|1987|12
350|11|1|7.8|12|1987|12
351|12|10|1.8|12|1987|12
352|14|11|1.1|12|1987|12
353|12.3|7.3|0|12|1987|12
354|10.5|7.8|0|12|1987|12
355|11|8.5|0|12|1987|12
356|10.8|1.5|0|12|1987|12
357|9.5|0.3|0|12|1987|12
358|5|3|0.2|12|1987|12
359|9.5|5|0.5|12|1987|12
360|10|4.8|0|12|1987|12
361|11.3|9.8|0|12|1987|12
362|12.8|10.8|0|12|1987|12
363|12.5|11.3|0|12|1987|12
364|12.8|7.3|2.2|12|1987|12
